iter	Logloss
0	0.6585494242
1	0.6310521293
2	0.6171164283
3	0.5971425286
4	0.5870624411
5	0.5788131214
6	0.5657179367
7	0.5596446437
8	0.5536462791
9	0.5485283592
10	0.5442164645
11	0.5366059805
12	0.5332811814
13	0.5305531595
14	0.5272922845
15	0.5251410778
16	0.5227023003
17	0.5182851968
18	0.5166684522
19	0.515081072
20	0.5119619077
21	0.5108120713
22	0.5099334805
23	0.5090803612
24	0.5081817938
25	0.5060634051
26	0.5042506652
27	0.5029625541
28	0.5024338869
29	0.5019641809
30	0.501317234
31	0.5009189441
32	0.5005771015
33	0.5001919428
34	0.4998299321
35	0.4994496735
36	0.4990490134
37	0.4981934289
38	0.4979399121
39	0.4976963392
40	0.4974516224
41	0.4972003116
42	0.4968813465
43	0.4966869631
44	0.4965034285
45	0.4963837527
46	0.4961588496
47	0.4958568056
48	0.4952830619
49	0.4952055867
50	0.4950532968
51	0.4949092403
52	0.4947817569
53	0.49430147
54	0.4942242463
55	0.4941404768
56	0.494034818
57	0.493881804
58	0.4937536572
59	0.4936768844
60	0.4933565293
61	0.4932649466
62	0.4931727257
63	0.4930801465
64	0.4929906417
65	0.4929212357
66	0.4928169658
67	0.4927353658
68	0.4926659885
69	0.4926204679
70	0.4923821978
71	0.4923209696
72	0.4922765712
73	0.4922031641
74	0.4921390849
75	0.4920638536
76	0.4920088035
77	0.491977137
78	0.4918635059
79	0.4918145179
80	0.491727159
81	0.4916723652
82	0.4916278089
83	0.4915527737
84	0.491505681
85	0.4913159445
86	0.4912701454
87	0.4912516713
88	0.4912114461
89	0.4911853872
90	0.4911546955
91	0.4911227956
92	0.4911004128
93	0.4910747261
94	0.4910400975
95	0.4910170683
96	0.4909888135
97	0.4909548277
98	0.4909240875
99	0.4909017835
100	0.490877406
101	0.4908230871
102	0.4907697202
103	0.4907369476
104	0.490712899
105	0.4906854634
106	0.4906576956
107	0.4906031498
108	0.4904630739
109	0.4904310981
110	0.4903954609
111	0.4902807659
112	0.4902523678
113	0.4902265535
114	0.4902042279
115	0.4901036663
116	0.4900805101
117	0.4900564272
118	0.4900227634
119	0.4899460532
120	0.4899192907
121	0.4898937475
122	0.4898648913
123	0.4898457176
124	0.4898218029
125	0.4898000031
126	0.4897613068
127	0.4896851278
128	0.489656774
129	0.489628453
130	0.4896059946
131	0.4895381594
132	0.4895098629
133	0.4894875096
134	0.4894630966
135	0.4894562013
136	0.4894417281
137	0.4893857004
138	0.4893603314
139	0.4893347388
140	0.4893186041
141	0.4892982304
142	0.4892776404
143	0.4892572107
144	0.4892388176
145	0.4892150868
146	0.4891984686
147	0.4891808557
148	0.4891640832
149	0.489138048
150	0.4891209898
151	0.4891122446
152	0.4890970874
153	0.4890893024
154	0.4890700318
155	0.4890505942
156	0.4890405295
157	0.4890044872
158	0.4889960151
159	0.4889668323
160	0.4889391221
161	0.4889269948
162	0.4889142232
163	0.4888858462
164	0.4888686827
165	0.4888553282
166	0.4888388631
167	0.4887923273
168	0.4887762876
169	0.4887523313
170	0.4887302041
171	0.4886970431
172	0.4886819435
173	0.4886635767
174	0.4886479844
175	0.4886347257
176	0.4886159302
177	0.4886067084
178	0.488590645
179	0.4885730233
180	0.4885407279
181	0.4885257613
182	0.4885138153
183	0.4884912487
184	0.4884787316
185	0.4884519332
186	0.4884314024
187	0.4884104653
188	0.488394654
189	0.4883836734
190	0.4883683796
191	0.4883503936
192	0.4883338399
193	0.4883230054
194	0.4883094395
195	0.4882949554
196	0.4882678197
197	0.488253975
198	0.4882377046
199	0.4882224354
200	0.488208286
201	0.4881957471
202	0.4881905193
203	0.4881735535
204	0.4881662539
205	0.4881419791
206	0.4881305224
207	0.4881052018
208	0.4880848326
209	0.4880704688
210	0.4880601202
211	0.4880548854
212	0.488044388
213	0.4880246874
214	0.4880097597
215	0.488002098
216	0.4879935465
217	0.4879777197
218	0.4879568433
219	0.4879410478
220	0.4879298235
221	0.4879134302
222	0.4879009487
223	0.4878900829
224	0.4878750916
225	0.4878605299
226	0.4878402887
227	0.487822294
228	0.4878071029
229	0.4877910134
230	0.4877744343
231	0.4877637094
232	0.4877442148
233	0.4877230234
234	0.487710078
235	0.48769836
236	0.4876779328
237	0.4876570028
238	0.4876423428
239	0.4876239007
240	0.4876057221
241	0.4875894042
242	0.4875794386
243	0.4875682574
244	0.4875513256
245	0.4875319501
246	0.4875181153
247	0.4875096623
248	0.4874949164
249	0.487481181
250	0.4874652666
251	0.4874578054
252	0.487440994
253	0.4874237109
254	0.4874083696
255	0.48739576
256	0.4873741401
257	0.4873675093
258	0.4873465793
259	0.4873385035
260	0.4873210539
261	0.4873082351
262	0.487296382
263	0.4872774162
264	0.4872596152
265	0.4872479461
266	0.4872362698
267	0.4872203284
268	0.4872099698
269	0.4871913483
270	0.4871746171
271	0.4871618825
272	0.4871501664
273	0.4871327321
274	0.4871145446
275	0.4870982779
276	0.4870870117
277	0.4870735587
278	0.4870642799
279	0.4870509478
280	0.4870401091
281	0.4870259849
282	0.4870145557
283	0.4870083788
284	0.4869899628
285	0.4869750936
286	0.4869559588
287	0.4869453746
288	0.4869332593
289	0.4869156469
290	0.4869051459
291	0.4868915106
292	0.4868750991
293	0.4868628569
294	0.4868456855
295	0.4868309999
296	0.4868125032
297	0.4867974054
298	0.4867816796
299	0.4867664893
300	0.4867534733
301	0.4867463647
302	0.4867329153
303	0.4867166151
304	0.4867041047
305	0.4866867246
306	0.4866733511
307	0.4866650431
308	0.4866544115
309	0.486648811
310	0.486642402
311	0.4866360787
312	0.4866242182
313	0.4866101606
314	0.4865969259
315	0.4865858868
316	0.4865768043
317	0.4865636599
318	0.4865428983
319	0.4865286624
320	0.4865181221
321	0.4864973431
322	0.4864838035
323	0.4864738954
324	0.4864626759
325	0.4864504319
326	0.4864301133
327	0.4864133034
328	0.4863950599
329	0.4863851621
330	0.4863691283
331	0.4863533644
332	0.4863446118
333	0.4863412844
334	0.4863306748
335	0.4863179545
336	0.4863062026
337	0.4862936736
338	0.4862818661
339	0.4862812407
340	0.4862631736
341	0.4862502179
342	0.4862310019
343	0.486216462
344	0.4862043172
345	0.4861851945
346	0.4861793467
347	0.486170074
348	0.4861632888
349	0.4861272365
350	0.4861156425
351	0.4860990626
352	0.486091465
353	0.4860821212
354	0.4860773552
355	0.486072335
356	0.4860565231
357	0.4860504812
358	0.4860419909
359	0.4860325622
360	0.4860213212
361	0.4860058968
362	0.4859922604
363	0.4859784047
364	0.4859686409
365	0.4859581332
366	0.4859533835
367	0.4859355686
368	0.485916716
369	0.4859047238
370	0.4858874889
371	0.4858761873
372	0.4858642755
373	0.485852721
374	0.4858378737
375	0.4858271751
376	0.4858122026
377	0.4857988002
378	0.4857860488
379	0.4857725889
380	0.4857714578
381	0.4857588661
382	0.4857478801
383	0.4857296387
384	0.4857228306
385	0.4857145856
386	0.4856989653
387	0.4856858723
388	0.4856731901
389	0.4856646944
390	0.4856332279
391	0.485624948
392	0.4856167998
393	0.4855953304
394	0.4855833278
395	0.4855739144
396	0.4855646331
397	0.4855529785
398	0.4855449058
399	0.4855331651
400	0.4855173472
401	0.4855167458
402	0.485514329
403	0.4855054264
404	0.4854986884
405	0.485484106
406	0.4854700093
407	0.4854566509
408	0.4854446534
409	0.485433364
410	0.4854244456
411	0.4854138948
412	0.4854025943
413	0.4853890529
414	0.4853798944
415	0.4853640205
416	0.4853558024
417	0.4853482446
418	0.4853351653
419	0.4853240564
420	0.4853136804
421	0.4853030166
422	0.4852961362
423	0.4852832669
424	0.4852657523
425	0.4852517093
426	0.4852358397
427	0.4852244263
428	0.4852107816
429	0.4852005264
430	0.4851836139
431	0.485169251
432	0.4851578722
433	0.485147242
434	0.4851349859
435	0.4851259366
436	0.4851249956
437	0.4851139749
438	0.485101319
439	0.4850890174
440	0.4850757053
441	0.4850656402
442	0.4850573135
443	0.4850447699
444	0.4850420492
445	0.4850348629
446	0.4850261278
447	0.4850166803
448	0.4849993192
449	0.4849680535
450	0.4849552253
451	0.4849423707
452	0.4849295649
453	0.4849213671
454	0.4849074363
455	0.4848992461
456	0.484887589
457	0.484870098
458	0.4848611242
459	0.4848605915
460	0.4848500968
461	0.4848415979
462	0.4848312316
463	0.4848233964
464	0.4848096993
465	0.4847991861
466	0.4847831479
467	0.4847715937
468	0.4847664549
469	0.4847572493
470	0.4847415936
471	0.4847303273
472	0.4847241373
473	0.4847140751
474	0.484703368
475	0.4847019514
476	0.4846908088
477	0.48468259
478	0.4846739842
479	0.4846734899
480	0.4846625057
481	0.4846504995
482	0.4846411561
483	0.4846297534
484	0.4846237738
485	0.484611459
486	0.4845962727
487	0.4845896114
488	0.4845808127
489	0.484571858
490	0.4845570547
491	0.4845505687
492	0.4845382108
493	0.4845233643
494	0.4845095906
495	0.4844996529
496	0.4844880364
497	0.4844875213
498	0.4844797475
499	0.4844653497
500	0.4844558274
501	0.4844473108
502	0.484441601
503	0.4844275283
504	0.4844131177
505	0.484400952
506	0.4843918594
507	0.4843828885
508	0.4843674319
509	0.4843557545
510	0.4843553282
511	0.48434562
512	0.4843313792
513	0.4843237686
514	0.4843134293
515	0.4842883458
516	0.4842756775
517	0.4842635836
518	0.484252666
519	0.4842478952
